Timestamp,Temperature (K),Dewpoint (K),Relative Humidity (%),Pressure (Pa)
2024-08-24 15:00:00,299.1883866682634,296.95382295275357,85.16458976897485,100478.73554674826
2024-08-24 18:00:00,300.3666748678442,296.8820489943082,85.69681382366399,100720.39195817133
2024-08-24 21:00:00,300.01802424674725,296.88007869610266,81.12035271584206,100484.17013819086
2024-08-25 00:00:00,300.2799134471265,297.08849425704943,79.22279208227798,100639.20901227149
2024-08-25 03:00:00,300.4404309588761,297.3790062087962,80.29437784112062,100368.11024889981
2024-08-25 06:00:00,301.04129377274467,297.1303586468003,82.86122759117389,100609.27860885036
2024-08-25 09:00:00,301.2551769610873,297.0638691203604,85.76538977385772,100491.13044813075
2024-08-25 12:00:00,299.7592531274606,297.1425464690057,82.22918499221774,100632.21747417524
2024-08-25 15:00:00,299.23405634033605,297.03049728332024,83.75659373393945,100671.06351624195
2024-08-25 18:00:00,300.5255311796954,297.22462393218,82.90653562425605,100382.07414208197
2024-08-25 21:00:00,299.6921566417254,297.00936846358996,80.04727381572917,100739.39875249183
2024-08-26 00:00:00,299.985140779953,297.21208523598267,83.4039784124271,100799.42952972808
2024-08-26 03:00:00,300.5115249844738,297.68120934158014,76.98310188665434,100453.0749245369
2024-08-26 06:00:00,300.06642409048885,297.1487920824398,78.7826579375592,100321.448691525
2024-08-26 09:00:00,300.046089937722,297.43615266110197,76.08583253151043,100370.21859557177
2024-08-26 12:00:00,300.3455589739487,297.1496604516044,82.54357203772088,100468.01581289712
2024-08-26 15:00:00,300.6605029311538,297.2667337144953,81.74052496230951,100579.28530299998
2024-08-26 18:00:00,300.2846335053048,297.4221873588114,83.90690650471498,100499.76280278634
2024-08-26 21:00:00,302.0156955947795,297.54056998661287,83.72055089571819,100539.68755459764
2024-08-27 00:00:00,301.6479604222653,297.1069470809358,86.06859152684095,100558.045249382
2024-08-27 03:00:00,300.18974079239285,296.8349845800105,83.77745429242823,100534.35200102237
2024-08-27 06:00:00,299.8796175721477,297.08238007120576,85.04312429456459,100414.29803053071
2024-08-27 09:00:00,299.5558671826826,296.76141907529774,87.62688585955375,100365.51697357096
2024-08-27 12:00:00,299.6844458315018,297.6190359803707,81.31237695486305,100484.92452122562
2024-08-27 15:00:00,300.162184417608,297.82809309351035,83.26840649189734,100584.08997791681
2024-08-27 18:00:00,299.4307234570045,297.70456934923004,81.93606375194557,100516.76385723443
2024-08-27 21:00:00,300.9712894469021,296.9639802270164,84.40549990417175,100570.4695944548
2024-08-28 00:00:00,299.9707466753076,297.13755948088925,79.67843897579883,100564.77714766382
2024-08-28 03:00:00,300.0838444808671,297.51322701245925,84.92491526718946,100314.2153582751
2024-08-28 06:00:00,300.13760695030567,297.84679496379715,77.63977528611107,100523.53322930387
2024-08-28 09:00:00,301.0297453242532,297.13584892243455,84.27027292580942,100316.35047193823
2024-08-28 12:00:00,300.7292991116158,297.09926120082207,84.31702344431883,100397.03599791863
2024-08-28 15:00:00,301.7553639543763,297.2187795631843,82.5938009241004,100311.0622067141
2024-08-28 18:00:00,301.8088451154541,297.21247369354313,84.85987798944049,100603.36176545
2024-08-28 21:00:00,299.77409436434243,296.83862501513744,83.44157228431042,100417.99812094485
2024-08-29 00:00:00,300.0236030357108,297.3149242652012,87.30805316080193,100505.63325006867
2024-08-29 03:00:00,300.02041980952407,297.01564772634396,81.24656054200877,100733.4051770501
2024-08-29 06:00:00,301.37656892157605,297.06776635086726,80.64224357432785,100672.89527067171
2024-08-29 09:00:00,300.80161608829724,297.0318656498529,83.28839625232696,100602.62344260994
2024-08-29 12:00:00,300.5613195254563,297.08349979239307,84.13184739280368,100664.47839029513
2024-08-29 15:00:00,300.0194485553945,296.95554754159025,82.40340490859701,100383.66588582416
2024-08-29 18:00:00,300.6709646410308,297.72320092833104,88.10042150212091,100513.3840784814
